"Time","Distance","GPS_Speed","GPS_Latitude","GPS_Longitude"

0.000,0.000,25.274895,42.068632292872,-84.237045279821,
0.100,0.004,25.711721,42.068635150391,-84.237058658873,
0.200,0.008,26.387770,42.068637514654,-84.237072438712,
0.300,0.012,26.589094,42.068639329415,-84.237086503513,
0.400,0.015,26.715233,42.068640698783,-84.237100693523,
0.500,0.019,26.658689,42.068641627784,-84.237114886853,
0.600,0.023,26.234913,42.068642119707,-84.237128967145,
0.700,0.027,25.438316,42.068642121975,-84.237142806527,
0.800,0.031,24.751080,42.068641580813,-84.237156193081,
0.900,0.034,23.645660,42.068640567417,-84.237169150799,
1.000,0.037,22.647738,42.068639053635,-84.237181649992,
1.100,0.041,22.196001,42.068637011182,-84.237193673853,
1.200,0.044,21.941858,42.068634344827,-84.237205171630,
1.300,0.047,21.693312,42.068630958496,-84.237216116188,
1.400,0.050,21.746128,42.068626968973,-84.237226617215,
1.500,0.053,21.928810,42.068622380638,-84.237236664030,
1.600,0.057,21.994678,42.068617203666,-84.237246244160,
1.700,0.060,22.237633,42.068611389879,-84.237255292457,
1.800,0.063,22.425909,42.068604947507,-84.237263702923,
1.900,0.066,22.552046,42.068598022807,-84.237271576634,
2.000,0.070,22.676321,42.068590648437,-84.237278901484,
2.100,0.073,22.921143,42.068582853444,-84.237285669364,
2.200,0.077,23.229963,42.068574612170,-84.237291816244,
2.300,0.080,23.661196,42.068565913559,-84.237297302240,
2.400,0.084,24.096155,42.068556847010,-84.237302248365,
2.500,0.087,24.531115,42.068547418717,-84.237306660177,
2.600,0.091,25.086620,42.068537636103,-84.237310538782,
2.700,0.095,25.706129,42.068527470295,-84.237313807983,
2.800,0.098,26.267225,42.068516929959,-84.237316403491,
2.900,0.102,26.826460,42.068506108805,-84.237318410854,
3.000,0.106,27.385695,42.068495040025,-84.237319817468,
3.100,0.110,27.884655,42.068483753763,-84.237320609155,
3.200,0.115,28.321480,42.068472247766,-84.237320681355,
3.300,0.119,28.816711,42.068460539520,-84.237319989064,
3.400,0.123,29.313808,42.068448667963,-84.237318687655,
3.500,0.128,29.871180,42.068436632972,-84.237316834352,
3.600,0.132,30.430412,42.068424431723,-84.237314501934,
3.700,0.137,30.989647,42.068412034599,-84.237311747295,
3.800,0.141,31.488607,42.068399419187,-84.237308803911,
3.900,0.146,31.985704,42.068386617533,-84.237305906705,
4.000,0.151,32.422527,42.068373632545,-84.237303243565,
4.100,0.155,32.676670,42.068360469308,-84.237300998336,
4.200,0.160,32.985493,42.068347114523,-84.237299431150,
4.300,0.165,33.235901,42.068333578960,-84.237298880874,
4.400,0.170,33.605000,42.068319920898,-84.237299287311,
4.500,0.175,33.917549,42.068306166622,-84.237300708562,
4.600,0.180,34.348778,42.068292342974,-84.237303178189,
4.700,0.185,34.723469,42.068278474836,-84.237306816997,
4.800,0.190,35.216835,42.068264601501,-84.237311633536,
4.900,0.195,35.713932,42.068250737954,-84.237317318270,
5.000,0.201,36.211029,42.068236882180,-84.237323761799,
5.100,0.206,36.647850,42.068223029049,-84.237330857896,
5.200,0.212,36.962269,42.068209171178,-84.237338572999,
5.300,0.217,37.393497,42.068195257928,-84.237346734705,
5.400,0.223,37.707912,42.068181259072,-84.237355097809,
5.500,0.228,37.958324,42.068167168626,-84.237363635981,
5.600,0.234,38.327419,42.068152961322,-84.237372249025,
5.700,0.239,38.639969,42.068138520614,-84.237380544443,
5.800,0.245,38.950657,42.068123825854,-84.237388549169,
5.900,0.251,39.321613,42.068108941737,-84.237396358735,
6.000,0.257,39.634163,42.068093737636,-84.237403807033,
6.100,0.263,40.005123,42.068078194820,-84.237410858823,
6.200,0.269,40.377945,42.068062652004,-84.237417910613,
6.300,0.274,40.750767,42.068047109188,-84.237424962402,
6.400,0.281,41.123592,42.068030994567,-84.237431367211,
6.500,0.287,41.556686,42.068014585379,-84.237437438726,
6.600,0.293,41.991642,42.067998176191,-84.237443510240,
6.700,0.299,42.366333,42.067981767004,-84.237449581755,
6.800,0.305,42.859703,42.067964820682,-84.237455035163,
6.900,0.312,43.417072,42.067947607795,-84.237460221635,
7.000,0.318,43.976307,42.067930160946,-84.237465166396,
7.100,0.325,44.595814,42.067912486245,-84.237469858148,
7.200,0.331,45.217182,42.067894552172,-84.237474246721,
7.300,0.338,45.898830,42.067876269102,-84.237478620717,
7.400,0.345,46.642609,42.067857696906,-84.237482960497,
7.500,0.352,47.388256,42.067838822855,-84.237487289428,
7.600,0.359,48.194172,42.067819632065,-84.237491636783,
7.700,0.366,49.122501,42.067800067970,-84.237496035278,
7.800,0.373,49.934010,42.067780097706,-84.237500476323,
7.900,0.381,50.862343,42.067759800589,-84.237504978579,
8.000,0.388,51.673851,42.067739203534,-84.237509562564,
8.100,0.396,52.300816,42.067718342784,-84.237514246710,
8.200,0.404,53.103004,42.067697247888,-84.237519061100,
8.300,0.412,53.308060,42.067676042572,-84.237524059360,
8.400,0.419,53.193104,42.067654843613,-84.237529207711,
8.500,0.427,53.068829,42.067633742062,-84.237534506043,
8.600,0.435,52.522644,42.067612825516,-84.237539950322,
8.700,0.442,51.601772,42.067592211577,-84.237545541093,
8.800,0.450,50.669716,42.067572058796,-84.237551269939,
8.900,0.457,49.436291,42.067552341852,-84.237557100383,
9.000,0.464,48.193550,42.067533092498,-84.237563032607,
9.100,0.471,47.071358,42.067514333283,-84.237569071894,
9.200,0.478,45.832340,42.067496133435,-84.237575246599,
9.300,0.484,44.770416,42.067478542391,-84.237581607597,
9.400,0.491,43.653816,42.067461432369,-84.237588172399,
